%time,field.x,field.y,field.theta,field.linear_velocity,field.angular_velocity
1550525670585910829,5.544444561,5.544444561,0.0,0.0,0.0
1550525670601969477,5.544444561,5.544444561,0.0,0.0,0.0
1550525670617875356,5.544444561,5.544444561,0.0,0.0,0.0
1550525670633878601,5.544444561,5.544444561,0.0,0.0,0.0
1550525670649909561,5.544444561,5.544444561,0.0,0.0,0.0
1550525670665902232,5.544444561,5.544444561,0.0,0.0,0.0
1550525670681876155,5.544444561,5.544444561,0.0,0.0,0.0
1550525670697879181,5.544444561,5.544444561,0.0,0.0,0.0
1550525670713957014,5.544444561,5.544444561,0.0,0.0,0.0
1550525670729890113,5.544444561,5.544444561,0.0,0.0,0.0
1550525670745885127,5.544444561,5.544444561,0.0,0.0,0.0
1550525670761879821,5.544444561,5.544444561,0.0,0.0,0.0
1550525670777887578,5.544444561,5.544444561,0.0,0.0,0.0
1550525670793899366,5.544444561,5.544444561,0.0,0.0,0.0
1550525670809877175,5.544444561,5.544444561,0.0,0.0,0.0
1550525670825866575,5.544444561,5.544444561,0.0,0.0,0.0
1550525670841951938,5.544444561,5.544444561,0.0,0.0,0.0
1550525670857930571,5.544444561,5.544444561,0.0,0.0,0.0
1550525670873882433,5.544444561,5.544444561,0.0,0.0,0.0
1550525670889875550,5.544444561,5.544444561,0.0,0.0,0.0
1550525670905865278,5.544444561,5.544444561,0.0,0.0,0.0
1550525670921947936,5.544444561,5.544444561,0.0,0.0,0.0
1550525670937856709,5.544444561,5.544444561,0.0,0.0,0.0
1550525670953816341,5.544444561,5.544444561,0.0,0.0,0.0
1550525670969855289,5.544444561,5.544444561,0.0,0.0,0.0
1550525670985880133,5.544444561,5.544444561,0.0,0.0,0.0
1550525671001987342,5.544444561,5.544444561,0.0,0.0,0.0
1550525671017978427,5.544444561,5.544444561,0.0,0.0,0.0
1550525671033883033,5.544444561,5.544444561,0.0,0.0,0.0
1550525671049906519,5.544444561,5.544444561,0.0,0.0,0.0
1550525671065903667,5.544444561,5.544444561,0.0,0.0,0.0
1550525671081882376,5.544444561,5.544444561,0.0,0.0,0.0
1550525671098009765,5.544444561,5.544444561,0.0,0.0,0.0
1550525671114019456,5.544444561,5.544444561,0.0,0.0,0.0
1550525671129872610,5.544444561,5.544444561,0.0,0.0,0.0
1550525671145883840,5.544444561,5.544444561,0.0,0.0,0.0
1550525671161882211,5.544444561,5.544444561,0.0,0.0,0.0
1550525671177877165,5.544444561,5.544444561,0.0,0.0,0.0
1550525671193976785,5.544444561,5.544444561,0.0,0.0,0.0
1550525671209938040,5.544444561,5.544444561,0.0,0.0,0.0
1550525671225879884,5.544444561,5.544444561,0.0,0.0,0.0
1550525671241900568,5.544444561,5.544444561,0.0,0.0,0.0
1550525671257894571,5.544444561,5.544444561,0.0,0.0,0.0
1550525671273874512,5.544444561,5.544444561,0.0,0.0,0.0
1550525671289853117,5.544444561,5.544444561,0.0,0.0,0.0
1550525671305866535,5.544444561,5.544444561,0.0,0.0,0.0
1550525671321871363,5.544444561,5.544444561,0.0,0.0,0.0
1550525671337937043,5.544444561,5.544444561,0.0,0.0,0.0
1550525671353869836,5.544444561,5.544444561,0.0,0.0,0.0
1550525671369893799,5.544444561,5.544444561,0.0,0.0,0.0
1550525671385878030,5.544444561,5.544444561,0.0,0.0,0.0
1550525671401916797,5.544444561,5.544444561,0.0,0.0,0.0
1550525671417901481,5.544444561,5.544444561,0.0,0.0,0.0
1550525671433869548,5.544444561,5.544444561,0.0,0.0,0.0
1550525671449873900,5.544444561,5.544444561,0.0,0.0,0.0
1550525671465904889,5.544444561,5.544444561,0.0,0.0,0.0
1550525671481883864,5.544444561,5.544444561,0.0,0.0,0.0
1550525671497981639,5.544444561,5.544444561,0.0,0.0,0.0
1550525671513884496,5.544444561,5.544444561,0.0,0.0,0.0
1550525671529888668,5.544444561,5.544444561,0.0,0.0,0.0
1550525671545880020,5.544444561,5.544444561,0.0,0.0,0.0
1550525671561881055,5.544444561,5.544444561,0.0,0.0,0.0
1550525671577883458,5.544444561,5.544444561,0.0,0.0,0.0
1550525671593898177,5.544444561,5.544444561,0.0,0.0,0.0
1550525671609874520,5.544444561,5.544444561,0.0,0.0,0.0
1550525671625866963,5.544444561,5.544444561,0.0,0.0,0.0
1550525671641878256,5.544444561,5.544444561,0.0,0.0,0.0
1550525671658000447,5.544444561,5.544444561,0.0,0.0,0.0
1550525671673916635,5.544444561,5.544444561,0.0,0.0,0.0
1550525671689896354,5.544444561,5.544444561,0.0,0.0,0.0
1550525671705870342,5.544444561,5.544444561,0.0,0.0,0.0
1550525671721882370,5.544444561,5.544444561,0.0,0.0,0.0
1550525671737867816,5.544444561,5.544444561,0.0,0.0,0.0
1550525671753881118,5.544444561,5.544444561,0.0,0.0,0.0
1550525671769877649,5.544444561,5.544444561,0.0,0.0,0.0
1550525671785872386,5.544444561,5.544444561,0.0,0.0,0.0
1550525671801877599,5.544444561,5.544444561,0.0,0.0,0.0
1550525671817930506,5.544444561,5.544444561,0.0,0.0,0.0
1550525671833927594,5.544444561,5.544444561,0.0,0.0,0.0
1550525671849918998,5.544444561,5.544444561,0.0,0.0,0.0
1550525671865931960,5.544444561,5.544444561,0.0,0.0,0.0
1550525671881924564,5.544444561,5.544444561,0.0,0.0,0.0
1550525671897931806,5.544444561,5.544444561,0.0,0.0,0.0
1550525671914064614,5.544444561,5.544444561,0.0,0.0,0.0
1550525671929923201,5.544444561,5.544444561,0.0,0.0,0.0
1550525671945908526,5.544444561,5.544444561,0.0,0.0,0.0
1550525671961817498,5.544444561,5.544444561,0.0,0.0,0.0
1550525671977912444,5.544444561,5.544444561,0.0,0.0,0.0
1550525671993847021,5.544444561,5.544444561,0.0,0.0,0.0
1550525672009925893,5.544444561,5.544444561,0.0,0.0,0.0
1550525672025882886,5.544444561,5.544444561,0.0,0.0,0.0
1550525672041870523,5.544444561,5.544444561,0.0,0.0,0.0
1550525672057883127,5.544444561,5.544444561,0.0,0.0,0.0
1550525672073885988,5.544444561,5.544444561,0.0,0.0,0.0
1550525672089877308,5.544444561,5.544444561,0.0,0.0,0.0
1550525672105883747,5.544444561,5.544444561,0.0,0.0,0.0
1550525672121867249,5.544444561,5.544444561,0.0,0.0,0.0
1550525672137884892,5.544444561,5.544444561,0.0,0.0,0.0
1550525672153879839,5.544444561,5.544444561,0.0,0.0,0.0
1550525672169869534,5.544444561,5.544444561,0.0,0.0,0.0
1550525672185879806,5.544444561,5.544444561,0.0,0.0,0.0
1550525672201869288,5.544444561,5.544444561,0.0,0.0,0.0
1550525672217886348,5.544444561,5.544444561,0.0,0.0,0.0
1550525672233885490,5.544444561,5.544444561,0.0,0.0,0.0
1550525672249869063,5.544444561,5.544444561,0.0,0.0,0.0
1550525672265881583,5.544444561,5.544444561,0.0,0.0,0.0
1550525672281941480,5.544444561,5.544444561,0.0,0.0,0.0
1550525672297881744,5.544444561,5.544444561,0.0,0.0,0.0
1550525672313871685,5.544444561,5.544444561,0.0,0.0,0.0
1550525672329899375,5.544444561,5.544444561,0.0,0.0,0.0
1550525672345873654,5.544444561,5.544444561,0.0,0.0,0.0
1550525672361857107,5.544444561,5.544444561,0.0,0.0,0.0
1550525672377872545,5.544444561,5.544444561,0.0,0.0,0.0
1550525672393871981,5.544444561,5.544444561,0.0,0.0,0.0
1550525672409852101,5.544444561,5.544444561,0.0,0.0,0.0
1550525672425871494,5.544444561,5.544444561,0.0,0.0,0.0
1550525672441867786,5.544444561,5.544444561,0.0,0.0,0.0
1550525672457873203,5.544444561,5.544444561,0.0,0.0,0.0
1550525672473870430,5.544444561,5.544444561,0.0,0.0,0.0
1550525672489849272,5.544444561,5.544444561,0.0,0.0,0.0
1550525672505866485,5.544444561,5.544444561,0.0,0.0,0.0
1550525672521852085,5.544444561,5.544444561,0.0,0.0,0.0
1550525672537868847,5.544444561,5.544444561,0.0,0.0,0.0
1550525672553864049,5.544444561,5.544444561,0.0,0.0,0.0
1550525672569932821,5.544444561,5.544444561,0.0,0.0,0.0
1550525672585870811,5.544444561,5.544444561,0.0,0.0,0.0
1550525672601863257,5.544444561,5.544444561,0.0,0.0,0.0
1550525672617873002,5.544444561,5.544444561,0.0,0.0,0.0
1550525672633872959,5.544444561,5.544444561,0.0,0.0,0.0
1550525672649866613,5.544444561,5.544444561,0.0,0.0,0.0
1550525672665889651,5.544444561,5.544444561,0.0,0.0,0.0
1550525672681872341,5.544444561,5.544444561,0.0,0.0,0.0
1550525672697877676,5.544444561,5.544444561,0.0,0.0,0.0
1550525672713889194,5.544444561,5.544444561,0.0,0.0,0.0
1550525672729869068,5.544444561,5.544444561,0.0,0.0,0.0
1550525672745948742,5.544444561,5.544444561,0.0,0.0,0.0
1550525672761900518,5.544444561,5.544444561,0.0,0.0,0.0
1550525672777887494,5.544444561,5.544444561,0.0,0.0,0.0
1550525672793817384,5.544444561,5.544444561,0.0,0.0,0.0
1550525672809957136,5.544444561,5.544444561,0.0,0.0,0.0
1550525672825941033,5.544444561,5.544444561,0.0,0.0,0.0
1550525672841903885,5.544444561,5.544444561,0.0,0.0,0.0
1550525672857849960,5.544444561,5.544444561,0.0,0.0,0.0
1550525672873841880,5.544444561,5.544444561,0.0,0.0,0.0
1550525672889887285,5.544444561,5.544444561,0.0,0.0,0.0
1550525672905972091,5.544444561,5.544444561,0.0,0.0,0.0
1550525672921908597,5.544444561,5.544444561,0.0,0.0,0.0
1550525672937929911,5.544444561,5.544444561,0.0,0.0,0.0
1550525672953908968,5.544444561,5.544444561,0.0,0.0,0.0
1550525672969887983,5.544444561,5.544444561,0.0,0.0,0.0
1550525672985936321,5.544444561,5.544444561,0.0,0.0,0.0
1550525673001872209,5.544444561,5.544444561,0.0,0.0,0.0
1550525673017920173,5.544444561,5.544444561,0.0,0.0,0.0
1550525673033908688,5.544444561,5.544444561,0.0,0.0,0.0
1550525673049867722,5.544444561,5.544444561,0.0,0.0,0.0
1550525673065870762,5.544444561,5.544444561,0.0,0.0,0.0
1550525673081976582,5.544444561,5.544444561,0.0,0.0,0.0
1550525673097853782,5.544444561,5.544444561,0.0,0.0,0.0
1550525673113912557,5.544444561,5.544444561,0.0,0.0,0.0
1550525673129919266,5.544444561,5.544444561,0.0,0.0,0.0
1550525673145880072,5.544444561,5.544444561,0.0,0.0,0.0
1550525673161915258,5.544444561,5.544444561,0.0,0.0,0.0
1550525673177947089,5.544444561,5.544444561,0.0,0.0,0.0
1550525673193881168,5.544444561,5.544444561,0.0,0.0,0.0
1550525673209878948,5.544444561,5.544444561,0.0,0.0,0.0
1550525673225912337,5.544444561,5.544444561,0.0,0.0,0.0
1550525673241930178,5.544444561,5.544444561,0.0,0.0,0.0
1550525673257931321,5.544444561,5.544444561,0.0,0.0,0.0
1550525673273878099,5.544444561,5.544444561,0.0,0.0,0.0
1550525673289901957,5.544444561,5.544444561,0.0,0.0,0.0
1550525673305904638,5.544444561,5.544444561,0.0,0.0,0.0
1550525673321863119,5.544444561,5.544444561,0.0,0.0,0.0
1550525673337884364,5.544444561,5.544444561,0.0,0.0,0.0
1550525673353870861,5.544444561,5.544444561,0.0,0.0,0.0
1550525673369867134,5.544444561,5.544444561,0.0,0.0,0.0
1550525673385880410,5.544444561,5.544444561,0.0,0.0,0.0
1550525673401876199,5.544444561,5.544444561,0.0,0.0,0.0
1550525673417877455,5.544444561,5.544444561,0.0,0.0,0.0
1550525673433870718,5.544444561,5.544444561,0.0,0.0,0.0
1550525673449861364,5.544444561,5.544444561,0.0,0.0,0.0
1550525673465879292,5.544444561,5.544444561,0.0,0.0,0.0
1550525673481869771,5.544444561,5.544444561,0.0,0.0,0.0
1550525673497879908,5.544444561,5.544444561,0.0,0.0,0.0
1550525673513905146,5.544444561,5.544444561,0.0,0.0,0.0
1550525673529866987,5.544444561,5.544444561,0.0,0.0,0.0
1550525673545875464,5.544444561,5.544444561,0.0,0.0,0.0
1550525673561822457,5.544444561,5.544444561,0.0,0.0,0.0
1550525673577883112,5.544444561,5.544444561,0.0,0.0,0.0
1550525673593874181,5.544444561,5.544444561,0.0,0.0,0.0
1550525673609850469,5.544444561,5.544444561,0.0,0.0,0.0
1550525673625878556,5.544444561,5.544444561,0.0,0.0,0.0
1550525673641874897,5.544444561,5.544444561,0.0,0.0,0.0
1550525673657880845,5.544444561,5.544444561,0.0,0.0,0.0
1550525673673878892,5.544444561,5.544444561,0.0,0.0,0.0
1550525673689866925,5.544444561,5.544444561,0.0,0.0,0.0
1550525673705896248,5.544444561,5.544444561,0.0,0.0,0.0
1550525673721872877,5.544444561,5.544444561,0.0,0.0,0.0
1550525673737883966,5.544444561,5.544444561,0.0,0.0,0.0
1550525673753878047,5.544444561,5.544444561,0.0,0.0,0.0
1550525673769863957,5.544444561,5.544444561,0.0,0.0,0.0
1550525673785882544,5.544444561,5.544444561,0.0,0.0,0.0
1550525673801884940,5.544444561,5.544444561,0.0,0.0,0.0
1550525673817884309,5.544444561,5.544444561,0.0,0.0,0.0
1550525673833875943,5.544444561,5.544444561,0.0,0.0,0.0
1550525673849868961,5.544444561,5.544444561,0.0,0.0,0.0
1550525673865880728,5.544444561,5.544444561,0.0,0.0,0.0
1550525673881883203,5.544444561,5.544444561,0.0,0.0,0.0
1550525673897881077,5.544444561,5.544444561,0.0,0.0,0.0
1550525673913900585,5.544444561,5.544444561,0.0,0.0,0.0
1550525673929846105,5.544444561,5.544444561,0.0,0.0,0.0
1550525673945839058,5.544444561,5.544444561,0.0,0.0,0.0
1550525673961798498,5.544444561,5.544444561,0.0,0.0,0.0
1550525673977796930,5.544444561,5.544444561,0.0,0.0,0.0
1550525673993872568,5.544444561,5.544444561,0.0,0.0,0.0
1550525674009817040,5.544444561,5.544444561,0.0,0.0,0.0
1550525674025860170,5.544444561,5.544444561,0.0,0.0,0.0
1550525674041857192,5.544444561,5.544444561,0.0,0.0,0.0
1550525674057826180,5.544444561,5.544444561,0.0,0.0,0.0
1550525674073803956,5.544444561,5.544444561,0.0,0.0,0.0
1550525674089806812,5.544444561,5.544444561,0.0,0.0,0.0
1550525674105813262,5.544444561,5.544444561,0.0,0.0,0.0
1550525674121811879,5.544444561,5.544444561,0.0,0.0,0.0
1550525674137829037,5.544444561,5.544444561,0.0,0.0,0.0
1550525674153854576,5.544444561,5.544444561,0.0,0.0,0.0
1550525674169877498,5.544444561,5.544444561,0.0,0.0,0.0
1550525674185864581,5.544444561,5.544444561,0.0,0.0,0.0
1550525674201876262,5.544444561,5.544444561,0.0,0.0,0.0
1550525674217829278,5.544444561,5.544444561,0.0,0.0,0.0
1550525674233800025,5.544444561,5.544444561,0.0,0.0,0.0
1550525674249811421,5.544444561,5.544444561,0.0,0.0,0.0
1550525674265811414,5.544444561,5.544444561,0.0,0.0,0.0
1550525674281809038,5.544444561,5.544444561,0.0,0.0,0.0
1550525674297821153,5.544444561,5.544444561,0.0,0.0,0.0
1550525674313862724,5.544444561,5.544444561,0.0,0.0,0.0
1550525674329853631,5.544444561,5.544444561,0.0,0.0,0.0
1550525674345865724,5.544444561,5.544444561,0.0,0.0,0.0
1550525674361860962,5.544444561,5.544444561,0.0,0.0,0.0
1550525674377889714,5.544444561,5.544444561,0.0,0.0,0.0
1550525674393813696,5.544444561,5.544444561,0.0,0.0,0.0
1550525674409802213,5.544444561,5.544444561,0.0,0.0,0.0
